element_kode;geometri;cvr_kode;oprindkode;statuskode;off_kode;arbejdssted;vejkode;anlaegsaar;etabl_pleje_udloeb;udskiftningsaar;kommunal_kontakt_kode;udfoerer_entrep_kode;driftniv_kode;ukrudtsbek_kode;konto_nr;tilstand_kode;laengde;bredde;diameter;hoejde;slaegt;art;sort;note;link
{UD,07,01};0104000020E86400000100000001010000001AD7CCCC411B2541E14C3D5A1E9F5741;29189129;0;0;1;1211;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{UD,07,01};0104000020E864000001000000010100000061B847E1771B254103A9CC6C119F5741;29189129;0;0;1;1211;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{UD,07,01};0104000020E864000001000000010100000075668F42BA1B254123055C9F0F9F5741;29189129;0;0;1;1211;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{UD,07,01};0104000020E8640000010000000101000000DCCCF528321B25419D6BC255349F5741;29189129;0;0;1;1211;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{UD,07,01};0104000020E86400000100000001010000008814D7235A1B254178E6D6C32E9F5741;29189129;0;0;1;1211;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{UD,08};0104000020E8640000010000000101000000E2CCF528641A254121D228ACFF9E5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{UD,08};0104000020E86400000100000001010000005EE1A3F0551A254162DCFFEFFA9E5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E86400000100000001010000001CD7CC4CCF1A254159B3A3801A9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E864000001000000010100000078668FC2CE1A25412F5714CE1C9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E864000001000000010100000078668F42D11A25419F941E251F9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E8640000010000000101000000DFCCF5A8C11A25416E61EBD11D9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E864000001000000010100000064B84761C31A2541820F3303209F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E86400000100000001010000004F0A0000C61A254108FB840B229F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E864000001000000010100000078668FC2DB1A254157B3A350289F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E864000001000000010100000096EB7A94DE1A2541F04C3D9A2A9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E86400000100000001010000008C14D7A3E01A254187E6D6932C9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E8640000010000000101000000A0C21E05E31A254187E6D6832E9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E8640000010000000101000000072985EBD01A2541B34266862C9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E86400000100000001010000003A5CB81ED21A2541DD9EF5F82D9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E8640000010000000101000000E8A39919D31A25413A2EB83E2F9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E864000001000000010100000024AE70BDF11A2541C3F0AD77399F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E86400000100000001010000004D0A0080F71A25415B8A47C13B9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E864000001000000010100000094EB7A94FC1A25416661EB413C9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E8640000010000000101000000100029DC021B2541B6190A873C9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E86400000100000001010000009EC21E85101B2541C9C751983C9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
{TR,02};0104000020E86400000100000001010000006B8FEB51181B2541F123E18A3C9F5741;29189129;0;0;1;4201;;;;;;;;;;9;0.0;0.0;0.0;0.0;;;;;
