postnr;postnr_by;aktiv
1050;København K;t
1051;København K;t
1052;København K;t
1053;København K;t
1054;København K;t
1055;København K;t
1056;København K;t
1057;København K;t
1058;København K;t
1059;København K;t
1060;København K;t
1061;København K;t
1062;København K;t
1063;København K;t
1064;København K;t
1065;København K;t
1066;København K;t
1067;København K;t
1068;København K;t
1069;København K;t
1070;København K;t
1071;København K;t
1072;København K;t
1073;København K;t
1074;København K;t
1100;København K;t
1101;København K;t
1102;København K;t
1103;København K;t
1104;København K;t
1105;København K;t
1106;København K;t
1107;København K;t
1110;København K;t
1111;København K;t
1112;København K;t
1113;København K;t
1114;København K;t
1115;København K;t
1116;København K;t
1117;København K;t
1118;København K;t
1119;København K;t
1120;København K;t
1121;København K;t
1122;København K;t
1123;København K;t
1124;København K;t
1125;København K;t
1126;København K;t
1127;København K;t
1128;København K;t
1129;København K;t
1130;København K;t
1131;København K;t
1150;København K;t
1151;København K;t
1152;København K;t
1153;København K;t
1154;København K;t
1155;København K;t
1156;København K;t
1157;København K;t
1158;København K;t
1159;København K;t
1160;København K;t
1161;København K;t
1162;København K;t
1164;København K;t
1165;København K;t
1166;København K;t
1167;København K;t
1168;København K;t
1169;København K;t
1170;København K;t
1171;København K;t
1172;København K;t
1173;København K;t
1174;København K;t
1175;København K;t
1200;København K;t
1201;København K;t
1202;København K;t
1203;København K;t
1204;København K;t
1205;København K;t
1206;København K;t
1207;København K;t
1208;København K;t
1209;København K;t
1210;København K;t
1211;København K;t
1212;København K;t
1213;København K;t
1214;København K;t
1215;København K;t
1216;København K;t
1218;København K;t
1219;København K;t
1220;København K;t
1221;København K;t
1250;København K;t
1251;København K;t
1252;København K;t
1253;København K;t
1254;København K;t
1255;København K;t
1256;København K;t
1257;København K;t
1259;København K;t
1260;København K;t
1261;København K;t
1263;København K;t
1264;København K;t
1265;København K;t
1266;København K;t
1267;København K;t
1268;København K;t
1270;København K;t
1271;København K;t
1300;København K;t
1301;København K;t
1302;København K;t
1303;København K;t
1304;København K;t
1306;København K;t
1307;København K;t
1308;København K;t
1309;København K;t
1310;København K;t
1311;København K;t
1312;København K;t
1313;København K;t
1314;København K;t
1315;København K;t
1316;København K;t
1317;København K;t
1318;København K;t
1319;København K;t
1320;København K;t
1321;København K;t
1322;København K;t
1323;København K;t
1324;København K;t
1325;København K;t
1326;København K;t
1327;København K;t
1328;København K;t
1329;København K;t
1350;København K;t
1352;København K;t
1353;København K;t
1354;København K;t
1355;København K;t
1356;København K;t
1357;København K;t
1358;København K;t
1359;København K;t
1360;København K;t
1361;København K;t
1362;København K;t
1363;København K;t
1364;København K;t
1365;København K;t
1366;København K;t
1367;København K;t
1368;København K;t
1369;København K;t
1370;København K;t
1371;København K;t
1400;København K;t
1401;København K;t
1402;København K;t
1403;København K;t
1406;København K;t
1407;København K;t
1408;København K;t
1409;København K;t
1410;København K;t
1411;København K;t
1412;København K;t
1413;København K;t
1414;København K;t
1415;København K;t
1416;København K;t
1417;København K;t
1418;København K;t
1419;København K;t
1420;København K;t
1421;København K;t
1422;København K;t
1423;København K;t
1424;København K;t
1425;København K;t
1426;København K;t
1427;København K;t
1428;København K;t
1429;København K;t
1430;København K;t
1432;København K;t
1433;København K;t
1434;København K;t
1435;København K;t
1436;København K;t
1437;København K;t
1438;København K;t
1439;København K;t
1440;København K;t
1441;København K;t
1450;København K;t
1451;København K;t
1452;København K;t
1453;København K;t
1454;København K;t
1455;København K;t
1456;København K;t
1457;København K;t
1458;København K;t
1459;København K;t
1460;København K;t
1461;København K;t
1462;København K;t
1463;København K;t
1464;København K;t
1465;København K;t
1466;København K;t
1467;København K;t
1468;København K;t
1470;København K;t
1471;København K;t
1472;København K;t
1473;København K;t
1550;København V;t
1551;København V;t
1552;København V;t
1553;København V;t
1554;København V;t
1555;København V;t
1556;København V;t
1557;København V;t
1558;København V;t
1559;København V;t
1560;København V;t
1561;København V;t
1562;København V;t
1563;København V;t
1564;København V;t
1567;København V;t
1568;København V;t
1569;København V;t
1570;København V;t
1571;København V;t
1572;København V;t
1573;København V;t
1574;København V;t
1575;København V;t
1576;København V;t
1577;København V;t
1600;København V;t
1601;København V;t
1602;København V;t
1603;København V;t
1604;København V;t
1605;København V;t
1606;København V;t
1607;København V;t
1608;København V;t
1609;København V;t
1610;København V;t
1611;København V;t
1612;København V;t
1613;København V;t
1614;København V;t
1615;København V;t
1616;København V;t
1617;København V;t
1618;København V;t
1619;København V;t
1620;København V;t
1621;København V;t
1622;København V;t
1623;København V;t
1624;København V;t
1631;København V;t
1632;København V;t
1633;København V;t
1634;København V;t
1635;København V;t
1650;København V;t
1651;København V;t
1652;København V;t
1653;København V;t
1654;København V;t
1655;København V;t
1656;København V;t
1657;København V;t
1658;København V;t
1659;København V;t
1660;København V;t
1661;København V;t
1662;København V;t
1663;København V;t
1664;København V;t
1665;København V;t
1666;København V;t
1667;København V;t
1668;København V;t
1669;København V;t
1670;København V;t
1671;København V;t
1672;København V;t
1673;København V;t
1674;København V;t
1675;København V;t
1676;København V;t
1677;København V;t
1699;København V;t
1700;København V;t
1701;København V;t
1702;København V;t
1703;København V;t
